Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216614_1	(1.0, 1.0896369788381028)	(2.0, 0.8717095830704824)	(3.0, 0.5505534208866204)	(4.0, 0.4129150656649653)	(5.0, 0.2867465733784481)	(6.0, 0.4473246544703791)	(7.0, 0.5620232838217584)	(8.0, 0.2752767104433102)	(9.0, 0.309686299248724)	('>10', 6.182256122039342)	('>50', 0.309686299248724)	('>100', 1.0322876641624132)	('>500', 3.578597235763033)	('>1k', 19.24643000516144)	('>5k', 0.0)	('>10k+', 64.84487010380225)
SRR3216615_1	(1.0, 1.5294453973699256)	(2.0, 1.0577472841623785)	(3.0, 0.8576329331046313)	(4.0, 0.7432818753573471)	(5.0, 0.714694110920526)	(6.0, 0.8147512864493996)	(7.0, 0.7004002287021155)	(8.0, 0.4002287021154946)	(9.0, 0.4502572898799314)	('>10', 3.9594053744997146)	('>50', 1.8296169239565465)	('>100', 3.073184676958262)	('>500', 4.645511720983419)	('>1k', 40.59462550028588)	('>5k', 38.62921669525443)	('>10k+', 0.0)
SRR3216616_1	(1.0, 2.5039872408293458)	(2.0, 1.8181818181818181)	(3.0, 1.244019138755981)	(4.0, 0.8931419457735247)	(5.0, 0.8771929824561403)	(6.0, 0.7655502392344498)	(7.0, 0.22328548644338117)	(8.0, 0.6379585326953748)	(9.0, 0.14354066985645933)	('>10', 3.827751196172249)	('>50', 0.0)	('>100', 9.011164274322168)	('>500', 9.537480063795853)	('>1k', 68.51674641148325)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216617_1	(1.0, 3.70504903741373)	(2.0, 2.905920813657828)	(3.0, 2.070468579731202)	(4.0, 1.2350163458045769)	(5.0, 0.9989102796948782)	(6.0, 1.035234289865601)	(7.0, 0.7628042135851798)	(8.0, 0.9444242644387941)	(9.0, 0.6538321830730113)	('>10', 13.321830730112605)	('>50', 5.73919360697421)	('>100', 9.45332364693062)	('>500', 0.0)	('>1k', 57.17399200871777)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216618_1	(1.0, 2.9612191797794574)	(2.0, 2.6762482963697187)	(3.0, 1.7098253004584314)	(4.0, 1.5859249163672409)	(5.0, 1.4868046090942884)	(6.0, 1.0407632263660018)	(7.0, 0.43365134431916735)	(8.0, 0.1982406145459051)	(9.0, 0.4460413827282865)	('>10', 4.819724941147317)	('>50', 2.7258084500061948)	('>100', 11.696196258208401)	('>500', 0.0)	('>1k', 68.21955148060958)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216619_1	(1.0, 2.1084614676364977)	(2.0, 1.4915753613847713)	(3.0, 1.2153577018690729)	(4.0, 1.1048706380627935)	(5.0, 0.6445078722032962)	(6.0, 0.5524353190313968)	(7.0, 0.7734094466439554)	(8.0, 0.515606297762637)	(9.0, 0.5800570849829666)	('>10', 5.828192615781235)	('>50', 1.2982229997237824)	('>100', 9.124390019335236)	('>500', 5.202099254212319)	('>1k', 69.56081392137004)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216620_1	(1.0, 1.6638176638176638)	(2.0, 1.1054131054131053)	(3.0, 0.6153846153846154)	(4.0, 0.5698005698005698)	(5.0, 0.7407407407407408)	(6.0, 0.47863247863247865)	(7.0, 0.6780626780626781)	(8.0, 0.5470085470085471)	(9.0, 0.46153846153846156)	('>10', 4.82051282051282)	('>50', 2.125356125356125)	('>100', 3.6866096866096867)	('>500', 2.8945868945868947)	('>1k', 7.145299145299146)	('>5k', 72.46723646723646)	('>10k+', 0.0)
SRR3216621_1	(1.0, 1.671175232942591)	(2.0, 1.1541929666366095)	(3.0, 1.4066726780883678)	(4.0, 1.0820559062218216)	(5.0, 0.8115419296663661)	(6.0, 0.8656447249774571)	(7.0, 0.757439134355275)	(8.0, 0.4809137360985873)	(9.0, 0.3246167718665464)	('>10', 3.612864442440637)	('>50', 0.7033363390441839)	('>100', 2.639014126840998)	('>500', 7.6405169822663055)	('>1k', 44.79711451758341)	('>5k', 32.052900510970844)	('>10k+', 0.0)
SRR3216622_1	(1.0, 1.3378239311441669)	(2.0, 0.7858546168958742)	(3.0, 0.36486107213022734)	(4.0, 0.37421648423613063)	(5.0, 0.561324726354196)	(6.0, 0.3929273084479371)	(7.0, 0.45841519318926005)	(8.0, 0.22452989054167838)	(9.0, 0.5051922537187763)	('>10', 4.135092150809243)	('>50', 0.636168023201422)	('>100', 11.684909720273177)	('>500', 0.0)	('>1k', 0.0)	('>5k', 78.53868462905791)	('>10k+', 0.0)
SRR3216623_1	(1.0, 2.6581635532479257)	(2.0, 1.7833963541960607)	(3.0, 1.3036853095547152)	(4.0, 1.0384333201647948)	(5.0, 0.9594220892826908)	(6.0, 0.5756532535696145)	(7.0, 0.5530786161747278)	(8.0, 0.586940572267058)	(9.0, 0.6095152096619448)	('>10', 5.9427732942039615)	('>50', 3.4200575653253567)	('>100', 6.4394153168914725)	('>500', 8.121225802810542)	('>1k', 66.00823974264914)	('>5k', 0.0)	('>10k+', 0.0)
