sample-id	age	ethnicity	isolate	sex	tissue
SRR3216738_1	25	AfricanContinental	Arm	male	Skin
SRR3216739_1	32	AfricanContinental	Scalp	male	Skin
SRR3216740_1	32	AfricanContinental	Scalp	male	Skin
SRR3216741_1	32	AfricanContinental	Axilla	male	Skin
SRR3216742_1	32	AfricanContinental	Axilla	male	Skin
SRR3216743_1	32	AfricanContinental	Arm	male	Skin
SRR3216744_1	32	AfricanContinental	Arm	male	Skin
SRR3216745_1	33	AfricanContinental	Scalp	male	Skin
SRR3216746_1	33	AfricanContinental	Scalp	male	Skin
SRR3216747_1	33	AfricanContinental	Axilla	male	Skin
SRR3216748_1	33	AfricanContinental	Axilla	male	Skin
SRR3216749_1	33	AfricanContinental	Arm	male	Skin
SRR3216750_1	33	AfricanContinental	Arm	male	Skin
SRR3216751_1	40	CaucasianAmerican	Scalp	male	Skin
SRR3216752_1	40	CaucasianAmerican	Scalp	male	Skin
SRR3216753_1	40	CaucasianAmerican	Axilla	male	Skin
SRR3216754_1	40	CaucasianAmerican	Axilla	male	Skin
SRR3216755_1	40	CaucasianAmerican	Arm	male	Skin
SRR3216756_1	40	CaucasianAmerican	Arm	male	Skin
SRR3216757_1	50	CaucasianAmerican	Scalp	male	Skin
SRR3216758_1	50	CaucasianAmerican	Scalp	male	Skin
SRR3216759_1	50	CaucasianAmerican	Axilla	male	Skin
SRR3216760_1	50	CaucasianAmerican	Axilla	male	Skin
SRR3216761_1	50	CaucasianAmerican	Arm	male	Skin
SRR3216762_1	50	CaucasianAmerican	Arm	male	Skin
SRR3216763_1	25	CaucasianAmerican	Scalp	male	Skin
SRR3216764_1	25	CaucasianAmerican	Scalp	male	Skin
SRR3216765_1	25	CaucasianAmerican	Axilla	male	Skin
SRR3216766_1	25	CaucasianAmerican	Axilla	male	Skin
SRR3216767_1	25	CaucasianAmerican	Arm	male	Skin
SRR3216768_1	25	CaucasianAmerican	Arm	male	Skin
SRR3216769_1	25	CaucasianAmerican	Scalp	male	Skin
SRR3216770_1	25	CaucasianAmerican	Scalp	male	Skin
SRR3216771_1	25	CaucasianAmerican	Axilla	male	Skin
SRR3216772_1	25	CaucasianAmerican	Axilla	male	Skin
SRR3216773_1	25	CaucasianAmerican	Arm	male	Skin
SRR3216774_1	25	CaucasianAmerican	Arm	male	Skin
SRR3216775_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216776_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216777_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216778_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216779_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216780_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216781_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216782_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216783_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216784_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216785_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216786_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216787_1	30	CaucasianAmerican	Scalp	male	Skin
SRR3216788_1	30	CaucasianAmerican	Scalp	male	Skin
SRR3216789_1	30	CaucasianAmerican	Axilla	male	Skin
SRR3216790_1	30	CaucasianAmerican	Axilla	male	Skin
SRR3216791_1	30	CaucasianAmerican	Arm	male	Skin
SRR3216792_1	30	CaucasianAmerican	Arm	male	Skin
SRR3216793_1	21	CaucasianAmerican	Scalp	male	Skin
SRR3216794_1	21	CaucasianAmerican	Scalp	male	Skin
SRR3216795_1	21	CaucasianAmerican	Axilla	male	Skin
SRR3216796_1	21	CaucasianAmerican	Axilla	male	Skin
SRR3216797_1	21	CaucasianAmerican	Arm	male	Skin
SRR3216798_1	21	CaucasianAmerican	Arm	male	Skin
SRR3216799_1	28	CaucasianAmerican	Scalp	male	Skin
SRR3216800_1	28	CaucasianAmerican	Scalp	male	Skin
SRR3216801_1	28	CaucasianAmerican	Axilla	male	Skin
SRR3216802_1	28	CaucasianAmerican	Axilla	male	Skin
SRR3216803_1	28	CaucasianAmerican	Arm	male	Skin
SRR3216804_1	28	CaucasianAmerican	Arm	male	Skin
SRR3216805_1	23	CaucasianAmerican	Scalp	male	Skin
SRR3216806_1	23	CaucasianAmerican	Scalp	male	Skin
SRR3216807_1	23	CaucasianAmerican	Axilla	male	Skin
SRR3216808_1	23	CaucasianAmerican	Axilla	male	Skin
SRR3216809_1	23	CaucasianAmerican	Arm	male	Skin
SRR3216810_1	23	CaucasianAmerican	Arm	male	Skin
SRR3216811_1	27	CaucasianAmerican	Scalp	male	Skin
SRR3216812_1	27	CaucasianAmerican	Scalp	male	Skin
SRR3216813_1	27	CaucasianAmerican	Axilla	male	Skin
SRR3216814_1	27	CaucasianAmerican	Axilla	male	Skin
SRR3216815_1	27	CaucasianAmerican	Arm	male	Skin
SRR3216816_1	27	CaucasianAmerican	Arm	male	Skin
SRR3216817_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216818_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216819_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216820_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216821_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216822_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216823_1	23	CaucasianAmerican	Scalp	male	Skin
SRR3216824_1	23	CaucasianAmerican	Scalp	male	Skin
SRR3216825_1	23	CaucasianAmerican	Axilla	male	Skin
SRR3216826_1	23	CaucasianAmerican	Axilla	male	Skin
SRR3216827_1	23	CaucasianAmerican	Arm	male	Skin
SRR3216828_1	23	CaucasianAmerican	Arm	male	Skin
SRR3216829_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216830_1	22	CaucasianAmerican	Scalp	male	Skin
SRR3216831_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216832_1	22	CaucasianAmerican	Axilla	male	Skin
SRR3216833_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216834_1	22	CaucasianAmerican	Arm	male	Skin
SRR3216835_1	32	CaucasianAmerican	Scalp	male	Skin
SRR3216836_1	32	CaucasianAmerican	Scalp	male	Skin
SRR3216837_1	32	CaucasianAmerican	Axilla	male	Skin
SRR3216838_1	32	CaucasianAmerican	Axilla	male	Skin
SRR3216839_1	32	CaucasianAmerican	Arm	male	Skin
SRR3216840_1	32	CaucasianAmerican	Arm	male	Skin
SRR3216841_1	29	CaucasianAmerican	Scalp	male	Skin
SRR3216842_1	29	CaucasianAmerican	Scalp	male	Skin
SRR3216843_1	29	CaucasianAmerican	Axilla	male	Skin
SRR3216844_1	29	CaucasianAmerican	Axilla	male	Skin
SRR3216845_1	29	CaucasianAmerican	Arm	male	Skin
SRR3216846_1	29	CaucasianAmerican	Arm	male	Skin
SRR3216847_1	21	EastAsian	Scalp	male	Skin
SRR3216848_1	21	EastAsian	Axilla	male	Skin
SRR3216849_1	21	EastAsian	Scalp	male	Skin
SRR3216850_1	21	EastAsian	Axilla	male	Skin
SRR3216851_1	21	EastAsian	Arm	male	Skin
SRR3216852_1	21	EastAsian	Arm	male	Skin
SRR3216853_1	21	EastAsian	Scalp	male	Skin
SRR3216854_1	21	EastAsian	Axilla	male	Skin
SRR3216855_1	21	EastAsian	Scalp	male	Skin
SRR3216856_1	21	EastAsian	Axilla	male	Skin
SRR3216857_1	21	EastAsian	Arm	male	Skin
SRR3216858_1	21	EastAsian	Arm	male	Skin
SRR3216859_1	23	EastAsian	Scalp	male	Skin
SRR3216860_1	23	EastAsian	Axilla	male	Skin
SRR3216861_1	23	EastAsian	Scalp	male	Skin
SRR3216862_1	23	EastAsian	Axilla	male	Skin
SRR3216863_1	23	EastAsian	Arm	male	Skin
SRR3216864_1	23	EastAsian	Arm	male	Skin
SRR3216865_1	21	EastAsian	Scalp	male	Skin
SRR3216866_1	21	EastAsian	Axilla	male	Skin
SRR3216867_1	21	EastAsian	Scalp	male	Skin
SRR3216868_1	21	EastAsian	Axilla	male	Skin
SRR3216869_1	21	EastAsian	Arm	male	Skin
SRR3216870_1	21	EastAsian	Arm	male	Skin
SRR3216871_1	22	EastAsian	Scalp	male	Skin
SRR3216872_1	22	EastAsian	Axilla	male	Skin
SRR3216873_1	22	EastAsian	Scalp	male	Skin
SRR3216874_1	22	EastAsian	Axilla	male	Skin
SRR3216875_1	22	EastAsian	Arm	male	Skin
SRR3216876_1	22	EastAsian	Arm	male	Skin
SRR3216877_1	21	EastAsian	Scalp	male	Skin
SRR3216878_1	21	EastAsian	Axilla	male	Skin
SRR3216879_1	21	EastAsian	Scalp	male	Skin
SRR3216880_1	21	EastAsian	Axilla	male	Skin
SRR3216881_1	21	EastAsian	Arm	male	Skin
SRR3216882_1	21	EastAsian	Arm	male	Skin
SRR3216883_1	21	EastAsian	Scalp	male	Skin
SRR3216884_1	21	EastAsian	Axilla	male	Skin
SRR3216885_1	21	EastAsian	Scalp	male	Skin
SRR3216886_1	21	EastAsian	Axilla	male	Skin
SRR3216887_1	21	EastAsian	Arm	male	Skin
SRR3216888_1	21	EastAsian	Arm	male	Skin
SRR3216889_1	21	EastAsian	Scalp	male	Skin
SRR3216890_1	21	EastAsian	Axilla	male	Skin
SRR3216891_1	21	EastAsian	Scalp	male	Skin
SRR3216892_1	21	EastAsian	Axilla	male	Skin
SRR3216893_1	21	EastAsian	Arm	male	Skin
SRR3216894_1	21	EastAsian	Arm	male	Skin
SRR3216895_1	21	EastAsian	Scalp	male	Skin
SRR3216896_1	21	EastAsian	Axilla	male	Skin
SRR3216897_1	21	EastAsian	Scalp	male	Skin
SRR3216898_1	21	EastAsian	Axilla	male	Skin
SRR3216899_1	21	EastAsian	Arm	male	Skin
SRR3216900_1	21	EastAsian	Arm	male	Skin
SRR3216901_1	21	EastAsian	Scalp	male	Skin
SRR3216902_1	21	EastAsian	Axilla	male	Skin
SRR3216903_1	21	EastAsian	Scalp	male	Skin
SRR3216904_1	21	EastAsian	Axilla	male	Skin
SRR3216905_1	21	EastAsian	Arm	male	Skin
SRR3216906_1	21	EastAsian	Arm	male	Skin
SRR3216907_1	21	EastAsian	Scalp	male	Skin
SRR3216908_1	21	EastAsian	Axilla	male	Skin
SRR3216909_1	21	EastAsian	Scalp	male	Skin
SRR3216910_1	21	EastAsian	Axilla	male	Skin
SRR3216911_1	21	EastAsian	Arm	male	Skin
SRR3216912_1	21	EastAsian	Arm	male	Skin
SRR3216913_1	21	EastAsian	Scalp	male	Skin
SRR3216914_1	21	EastAsian	Axilla	male	Skin
SRR3216915_1	21	EastAsian	Scalp	male	Skin
SRR3216916_1	21	EastAsian	Axilla	male	Skin
SRR3216917_1	21	EastAsian	Arm	male	Skin
SRR3216918_1	21	EastAsian	Arm	male	Skin
SRR3216919_1	21	EastAsian	Scalp	male	Skin
SRR3216920_1	21	EastAsian	Axilla	male	Skin
SRR3216921_1	21	EastAsian	Scalp	male	Skin
SRR3216922_1	21	EastAsian	Axilla	male	Skin
SRR3216923_1	21	EastAsian	Arm	male	Skin
SRR3216924_1	21	EastAsian	Arm	male	Skin
SRR3216925_1	21	EastAsian	Scalp	male	Skin
SRR3216926_1	21	EastAsian	Axilla	male	Skin
SRR3216927_1	21	EastAsian	Scalp	male	Skin
SRR3216928_1	21	EastAsian	Axilla	male	Skin
SRR3216929_1	21	EastAsian	Arm	male	Skin
SRR3216930_1	21	EastAsian	Arm	male	Skin
SRR3216931_1	21	EastAsian	Scalp	male	Skin
SRR3216932_1	21	EastAsian	Axilla	male	Skin
SRR3216933_1	21	EastAsian	Scalp	male	Skin
SRR3216934_1	21	EastAsian	Axilla	male	Skin
SRR3216935_1	21	EastAsian	Arm	male	Skin
SRR3216936_1	21	EastAsian	Arm	male	Skin
SRR3216937_1	22	EastAsian	Scalp	male	Skin
SRR3216938_1	22	EastAsian	Axilla	male	Skin
SRR3216939_1	22	EastAsian	Scalp	male	Skin
SRR3216940_1	22	EastAsian	Axilla	male	Skin
SRR3216941_1	22	EastAsian	Arm	male	Skin
SRR3216942_1	22	EastAsian	Arm	male	Skin
SRR3216943_1	21	EastAsian	Scalp	male	Skin
SRR3216944_1	21	EastAsian	Axilla	male	Skin
