"taxon","lfc_isolateAxilla","lfc_isolateScalp","lfc_isolateScalp_isolateAxilla","se_isolateAxilla","se_isolateScalp","se_isolateScalp_isolateAxilla","W_isolateAxilla","W_isolateScalp","W_isolateScalp_isolateAxilla","p_isolateAxilla","p_isolateScalp","p_isolateScalp_isolateAxilla","q_isolateAxilla","q_isolateScalp","q_isolateScalp_isolateAxilla","diff_isolateAxilla","diff_isolateScalp","diff_isolateScalp_isolateAxilla","passed_ss_isolateAxilla","passed_ss_isolateScalp","passed_ss_isolateScalp_isolateAxilla","diff_robust_isolateAxilla","diff_robust_isolateScalp","diff_robust_isolateScalp_isolateAxilla","Taxon","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"073d0c62d1257a783d7508c138432fc4",-0.309485912788949,-0.0827582204072316,0.226727692381717,0.132050455419851,0.125497563239788,0.145185379458422,-2.34369439927296,-0.659440855031626,1.56164273033186,0.0216412988494729,0.511555044322276,0.122420587011092,0.075666699574416,0.765492440424701,0.305611105703948,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales",NA,NA,NA
"8f98fb8693ed59c21399d83ce2d10724",0.666387744669746,0.192780389297786,-0.473607355371961,0.136572277637084,0.130466826185542,0.150516727791591,4.87937783713726,1.47761998152408,-3.14654299439548,3.27928287317841e-06,0.142107724108612,0.00208006015427047,1.14656940745662e-05,0.212650407299218,0.00519266815490541,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Pedosphaerales; f__Pedosphaeraceae","Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Pedosphaerales","f__Pedosphaeraceae",NA,NA
"d404ad9154b4ca23b32e3504d1b89994",0.468479156749567,-0.000475548886132789,-0.4689547056357,0.133987041391948,0.121427430958687,0.148465157084882,3.49645123799055,-0.00391632172712757,-3.1586852756811,0.000642760327767315,0.996881147864545,0.00196487203442157,0.00224734905967565,1,0.00490511220103802,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"891019e319f5d8d088ed4f9379fd63ef",-0.324186585091266,-0.512444709653835,-0.188258124562569,0.133745737229096,0.127066472965243,0.146178106637422,-2.42390218789522,-4.03288686382288,-1.2878681280879,0.0177649470735992,0.000131228046340001,0.201751428310194,0.044348464996683,0.000458826118857845,0.301901417903024,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria",NA,NA,NA,NA
"d65886bee0f292fbbf5fc64ff1bc0b24",-0.152466310057548,-0.0659140163636598,0.0865522936938882,0.12838471080547,0.122047044323697,0.144553003186397,-1.18757373133446,-0.540070566468131,0.598758184098613,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales",NA,NA,NA
"3baabf8cc3e85c0f8b1d2790db20f838",-0.479543312421512,0.199576040398739,0.679119352820251,0.129451287418044,0.123526853893304,0.14439976969612,-3.70443061622786,1.61564901969511,4.70305011046356,0.000378338777146897,0.109920189293446,9.95507070109976e-06,0.000944486012014195,0.164484887575804,3.48069378470107e-05,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
"cf0bc451f5ca32794f9698058d9a8269",0.235383670494716,0.357711282638718,0.122327612144002,0.133019421603968,0.128828125614959,0.147557530770733,1.7695436324743,2.77665518248589,0.829016394521183,0.0817206940135933,0.00725379271715219,0.410275439893022,0.204007775702999,0.0253621817304746,0.613937348904666,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales",NA,NA,NA
"84716245f53ab2236b84538a9cdd74ed",0.0672300397305232,-0.0092517150628022,-0.0764817547933254,0.131008158269357,0.127811079526678,0.148101556314387,0.513174451260479,-0.0723858612028319,-0.516414254492852,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales","Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales",NA,NA,NA
"cfa0a9d410bf62904ac4dd92b9e02b11",-0.544169261841565,0.401194305777513,0.945363567619079,0.134148887444163,0.127826445603776,0.146980238691681,-4.05645750933317,3.13858610307523,6.43190932355305,0.000126220885276134,0.00247278622231559,1.26980949870061e-08,0.00031509818122891,0.00370028441900462,4.43976558538486e-08,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Alphaproteobacteria","Bacteria","p__Pseudomonadota","c__Alphaproteobacteria",NA,NA,NA,NA
"d32274e6eeffddfd841ee35b5ba8ea1f",-0.119500321711765,-0.284023372121994,-0.164523050410228,0.133041488639834,0.126264790958225,0.144976259249691,-0.898218465032912,-2.2494265421622,-1.1348275314986,0.370537936926591,0.0259711408655493,0.258294637705433,0.644807476861764,0.0908055716594026,0.644807476861764,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
